Source,Target
266,298
702,701
191,668
237,683
231,151
752,657
192,134
73,545
220,763
302,31
442,130
624,701
15,283
87,151
462,269
763,448
143,263
365,240
774,499
578,563
440,687
373,441
654,671
355,121
609,649
708,270
460,568
626,767
451,139
747,694
455,549
181,301
208,184
365,536
260,381
471,269
621,287
134,406
592,503
564,242
579,242
719,200
135,376
76,441
667,645
400,475
3,737
45,435
231,146
510,715
456,260
164,751
754,424
779,258
360,208
723,646
384,533
734,673
721,141
741,244
217,509
44,633
719,595
40,606
598,368
584,746
187,350
198,303
169,701
569,115
231,172
440,71
659,610
570,557
40,712
352,451
661,95
4,540
319,130
125,418
309,276
579,612
716,80
482,535
376,37
6,328
343,159
509,574
530,546
486,229
686,213
304,386
514,732
757,161
150,265
436,701
221,265
436,603
365,242
251,792
295,607
439,209
360,657
436,40
325,408
89,472
777,71
615,47
670,5
793,314
461,195
568,493
400,341
297,63
446,541
152,141
54,115
378,161
224,316
311,398
35,298
132,356
370,103
453,503
598,600
45,445
360,548
303,133
331,51
559,171
129,758
255,6
698,154
92,491
73,381
354,271
49,219
736,244
683,245
452,533
200,588
636,403
56,561
54,119
141,629
779,547
380,547
407,307
559,153
268,306
382,89
54,32
172,745
16,110
734,537
94,278
342,643
435,165
638,691
734,718
781,298
113,42
316,97
416,397
400,483
275,155
461,154
309,4
539,30
266,545
283,340
232,254
384,427
781,161
420,496
268,159
593,473
475,550
199,785
385,732
196,488
587,30
36,494
513,184
106,129
604,6
315,137
83,509
534,585
743,57
220,723
665,764
439,708
28,545
796,23
698,147
306,635
666,158
55,750
439,513
769,264
232,499
623,23
97,250
324,544
10,517
586,461
779,349
669,226
53,623
538,718
242,438
759,523
14,103
378,152
361,478
698,137
354,739
233,684
605,291
96,264
730,137
744,129
107,611
58,560
146,658
753,625
27,524
474,794
365,391
585,592
586,512
526,424
456,70
288,540
389,347
689,128
211,701
385,336
594,80
785,490
308,425
27,731
399,459
494,421
578,768
82,63
221,257
150,4
333,546
308,544
442,213
575,302
645,209
768,92
672,116
132,69
396,568
218,644
321,163
17,164
190,715
57,51
237,448
676,580
789,726
718,420
83,499
526,159
115,56
636,358
54,532
798,534
179,768
94,724
437,795
313,432
251,305
289,269
593,733
568,428
290,287
733,762
217,100
87,668
49,165
123,771
261,154
225,640
313,103
106,505
453,614
107,48
722,590
559,431
141,727
239,490
490,340
373,128
730,3
91,502
104,714
788,276
459,16
143,432
2,724
533,648
357,250
439,155
447,20
371,366
770,337
765,358
110,198
152,760
577,164
174,646
438,59
443,614
789,127
504,421
565,214
158,635
386,21
408,404
440,349
295,410
83,569
411,249
609,173
770,572
51,473
452,106
769,550
740,525
464,762
147,798
45,572
741,569
193,28
445,247
511,280
435,44
359,794
196,758
470,410
631,164
790,451
211,442
582,773
403,59
401,413
228,679
753,196
578,434
210,40
38,716
18,458
742,538
627,702
412,403
517,136
89,465
502,505
601,644
459,84
548,525
707,521
14,62
501,728
182,246
117,741
29,431
719,574
209,477
492,37
43,425
207,284
749,512
539,153
152,159
18,738
182,579
302,69
173,713
199,488
506,683
619,2
255,735
800,70
120,67
738,610
68,397
714,540
197,184
577,58
750,29
640,391
737,211
462,694
337,147
459,644
652,615
180,786
247,594
720,536
729,586
80,715
740,516
440,525
174,410
634,424
252,797
294,317
463,790
770,7
783,110
454,469
731,241
190,688
21,271
789,738
223,476
283,574
621,551
617,723
1,679
131,595
433,339
452,247
19,709
278,410
142,103
37,337
29,453
73,113
87,374
634,784
790,681
765,181
584,498
586,590
1,732
524,478
734,19
348,634
755,567
82,354
783,417
85,420
215,610
160,350
122,588
77,159
598,398
300,704
293,508
763,685
203,428
199,509
592,106
394,550
310,48
80,314
203,463
484,9
49,700
437,533
485,73
627,314
657,216
617,126
632,707
331,692
11,309
22,483
665,170
337,540
39,299
761,762
1,441
434,137
433,700
52,379
171,158
374,769
789,690
393,255
741,307
492,528
212,24
173,99
253,58
289,226
609,365
532,409
294,647
15,756
774,196
68,265
564,749
750,248
107,142
404,427
454,302
323,574
262,67
434,710
666,291
445,233
126,494
252,108
69,212
342,120
224,173
695,94
355,672
254,409
195,607
528,327
81,127
698,336
422,705
397,432
376,409
582,424
268,521
304,708
385,492
70,560
545,149
68,362
672,732
14,632
641,341
365,428
594,425
529,764
161,397
111,670
738,219
408,647
516,107
622,736
128,212
685,648
406,420
501,689
211,533
580,413
74,277
460,713
450,8
376,196
292,510
186,282
384,699
295,741
790,346
187,269
45,323
89,778
238,151
667,774
266,301
602,375
31,490
182,92
390,588
434,476
360,426
101,21
182,267
245,72
10,17
110,425
244,177
209,465
760,778
721,192
340,110
555,443
82,538
434,123
627,597
56,409
458,301
644,65
584,319
262,210
492,116
75,480
38,302
750,656
174,453
509,375
203,791
266,617
480,541
750,425
325,276
385,157
331,648
566,34
86,502
435,214
778,551
354,300
630,438
397,209
666,582
52,780
492,417
519,581
11,771
725,340
286,313
79,633
83,435
565,55
754,313
685,247
215,698
76,567
21,451
473,132
215,500
13,4
188,111
39,519
303,129
39,306
752,595
458,699
456,708
304,102
399,239
37,13
282,498
489,649
189,535
189,147
107,32
688,350
559,540
28,44
277,168
285,328
652,650
638,393
365,233
290,215
231,576
333,335
392,79
41,181
546,136
208,685
634,480
690,481
262,47
87,59
637,695
74,712
696,274
485,101
484,661
721,631
354,257
485,605
27,798
604,131
336,532
298,179
297,394
358,260
475,429
416,546
224,174
173,65
247,793
530,437
650,154
627,150
47,334
146,660
105,348
575,712
602,728
461,523
347,526
373,579
2,214
10,596
762,531
516,430
400,305
258,158
38,528
54,600
728,424
333,232
114,162
118,59
632,742
488,708
180,690
129,423
439,162
592,267
219,727
764,707
525,537
798,672
47,6
225,421
703,732
743,248
454,773
680,286
302,541
210,686
62,503
734,423
524,280
681,116
365,680
330,664
462,463
325,242
131,340
713,794
667,234
270,772
200,393
351,181
546,350
665,39
402,475
722,383
401,580
609,123
123,502
98,537
565,716
100,512
240,93
468,646
470,89
284,438
31,125
222,570
350,512
42,643
560,316
343,715
622,126
278,184
604,130
558,573
220,411
181,132
592,748
260,709
515,598
530,576
205,512
458,268
113,633
368,101
371,61
248,339
256,30
593,691
118,349
30,216
545,540
664,13
292,52
120,256
456,178
148,343
693,68
719,547
738,93
664,398
347,589
222,568
425,349
559,166
50,306
361,716
509,226
594,2
50,134
459,111
96,667
260,215
380,694
485,496
310,153
663,349
130,516
681,783
657,355
100,549
462,690
112,465
117,370
54,549
593,478
497,280
591,766
17,677
259,251
53,494
746,494
723,475
238,305
524,288
45,751
470,291
325,154
359,638
604,233
369,19
203,526
695,129
215,719
118,518
287,127
559,214
86,762
501,557
605,282
149,307
390,425
612,731
387,311
143,116
268,340
14,162
492,570
127,549
484,212
222,524
400,151
375,255
176,738
116,490
2,394
369,505
283,254
241,545
49,268
177,522
699,225
160,398
579,691
337,494
536,465
738,768
233,541
462,259
796,569
145,148
290,306
581,549
70,81
517,179
629,147
302,274
621,271
669,318
754,533
487,527
385,160
49,636
372,793
93,477
353,572
422,132
599,296
323,771
323,385
523,519
390,747
98,698
295,472
667,797
620,643
450,700
450,583
247,7
638,614
15,182
624,68
281,716
761,167
141,157
175,697
791,85
54,214
406,50
463,585
675,343
369,392
198,30
406,403
627,173
395,671
359,657
117,707
164,654
377,86
454,699
440,615
406,542
604,142
231,209
441,337
790,116
305,752
226,40
602,514
74,629
217,628
261,24
189,613
386,597
555,682
515,165
395,766
378,493
460,339
47,711
619,451
105,599
126,692
74,693
45,315
770,596
595,392
54,102
666,742
407,343
604,438
294,111
468,342
528,794
461,513
604,424
383,536
56,795
292,246
593,332
352,697
520,184
504,426
602,21
622,343
224,228
354,160
490,24
274,158
331,713
518,414
141,538
218,713
273,765
97,701
452,603
640,514
615,542
399,63
676,142
274,615
498,792
586,751
489,495
83,280
54,291
73,415
659,531
230,674
455,531
382,662
464,751
572,102
213,232
591,100
470,258
243,720
381,783
525,157
1,687
376,301
665,567
790,124
356,436
442,715
732,415
195,216
520,700
191,116
227,573
83,742
661,366
15,767
217,567
619,276
371,31
470,163
696,576
132,163
319,496
676,614
141,164
639,562
233,138
283,413
227,32
360,606
375,429
21,286
800,422
199,498
380,214
94,679
150,602
675,163
684,467
376,368
153,137
744,248
283,336
282,288
646,710
250,713
654,56
1,557
762,543
130,341
523,65
563,175
25,157
308,110
107,213
150,717
117,5
173,576
412,296
749,682
285,44
384,494
692,31
402,657
678,483
372,607
734,724
441,268
21,192
62,576
447,369
323,344
299,410
689,137
83,426
4,307
460,54
177,717
118,739
4,350
325,299
327,406
491,642
763,490
565,694
231,199
16,55
451,598
52,6
788,428
451,484
101,518
797,249
670,131
73,715
789,156
749,350
551,772
344,368
405,232
156,421
465,103
299,581
743,421
171,455
562,142
656,37
680,721
362,528
561,453
173,344
526,701
81,525
365,244
290,295
113,307
595,401
600,549
243,197
426,703
587,461
82,278
545,583
420,394
131,513
375,505
115,209
215,601
503,662
79,157
197,799
501,690
148,106
671,718
639,278
334,778
211,494
396,760
565,616
296,716
4,794
218,785
445,764
317,102
262,787
2,705
209,410
597,682
737,701
305,160
310,638
63,428
353,676
454,55
390,439
315,115
302,364
113,797
162,513
194,763
10,158
754,434
230,61
211,692
41,239
130,226
254,157
411,675
303,569
461,563
567,362
675,547
53,184
50,462
226,658
296,337
169,431
558,428
457,266
196,71
654,735
190,104
487,376
631,543
759,70
182,72
367,124
439,523
364,795
107,711
298,255
621,68
372,245
176,800
498,134
69,368
381,103
217,29
695,359
425,65
125,216
456,472
366,264
334,267
486,165
440,424
366,707
221,333
174,711
775,726
157,164
87,478
609,557
340,424
764,760
678,372
328,39
692,250
389,202
791,771
697,635
607,503
5,437
449,343
141,423
99,703
559,280
532,340
364,765
141,590
326,717
188,289
52,538
549,528
563,202
642,393
167,522
352,127
452,649
292,175
313,651
750,757
159,409
529,744
64,153
164,654
708,773
6,418
581,409
92,331
304,266
181,704
344,156
440,717
96,82
309,730
91,351
346,683
403,168
627,611
323,537
160,205
448,204
105,124
321,524
601,699
226,283
294,305
489,498
265,572
548,28
641,249
780,288
611,786
511,155
224,707
230,139
468,551
57,24
583,614
490,542
615,34
654,356
759,443
406,687
647,747
181,546
560,600
631,432
449,694
501,453
309,679
567,647
642,604
585,757
401,557
777,707
88,10
460,579
216,472
683,160
595,681
482,580
789,179
320,155
226,103
529,2
72,232
216,508
417,645
409,110
576,133
631,616
159,549
357,428
402,759
473,627
403,345
652,107
492,216
208,689
656,8
735,726
277,559
470,50
355,568
15,44
411,491
760,658
476,512
310,138
760,708
512,745
495,162
730,532
189,35
607,437
669,302
152,344
791,156
38,565
329,344
632,505
130,581
722,717
303,649
180,367
640,20
277,168
691,710
39,16
335,682
508,164
449,253
352,16
795,786
776,232
571,233
558,125
651,444
765,576
453,234
18,626
734,400
86,635
97,619
218,519
219,660
179,588
485,609
326,259
359,525
403,677
113,637
337,476
781,513
664,384
74,219
685,139
174,132
758,131
299,341
279,535
395,567
194,132
285,444
510,136
564,703
216,101
51,764
267,85
364,357
399,538
571,729
217,574
36,469
485,138
448,242
149,48
121,741
602,28
304,707
667,511
310,469
231,198
95,446
292,682
286,326
523,713
549,481
741,713
243,377
502,202
58,333
54,244
738,721
587,57
392,398
564,455
383,526
767,418
640,748
670,13
563,276
569,756
455,521
52,565
81,740
488,288
439,440
251,170
788,298
743,245
181,711
466,700
192,535
323,215
578,413
238,350
573,58
100,665
422,603
38,408
210,799
539,138
117,477
309,497
137,223
34,526
243,728
375,466
777,216
723,726
1,766
668,560
361,478
607,343
676,600
736,424
462,169
447,374
403,249
449,517
461,645
615,590
251,539
56,138
383,423
506,467
100,583
330,263
400,214
662,115
