,First_pokemon,Second_pokemon,Winner,Loser,Winner Type 1,Winner Type 2,Winner Total,Loser Type 1,Loser Type 2,Loser Total,Winner stat higher than Loser,Winner Effectiveness against Loser,Winner Name
0,266,298,298,266,normal,fairy,190,bug,,205,FALSE,0.5,Nuzleaf
1,702,701,701,702,fight,flying,500,electric,fairy,431,TRUE,4,Terrakion
2,191,668,668,191,fire,normal,507,grass,,180,TRUE,0.5,Beheeyem
3,237,683,683,237,fairy,,462,fight,,455,TRUE,0.5,Druddigon
4,151,231,151,231,psychic,,600,ground,,330,TRUE,1,Omastar
5,657,752,657,752,water,,405,water,bug,454,FALSE,0.5,Joltik
6,192,134,134,192,water,,525,grass,,425,TRUE,2,Jynx
7,73,545,545,73,bug,poison,485,water,poison,515,FALSE,0.5,Giratina Altered Forme
8,220,763,763,220,grass,,510,ice,ground,250,TRUE,1,Clauncher
9,302,31,31,302,poison,ground,505,dark,ghost,480,TRUE,1,Pikachu
10,442,130,130,442,water,flying,640,ghost,dark,485,TRUE,1,Staryu
11,701,624,701,624,fight,flying,500,dark,steel,340,TRUE,0.5,Terrakion
12,15,283,283,15,bug,water,269,bug,poison,495,FALSE,1,Swampert
13,151,87,151,87,psychic,,600,water,ice,475,TRUE,1,Omastar
14,269,462,269,462,bug,poison,385,electric,steel,535,FALSE,1,Mega Tyranitar
15,763,448,448,763,fight,steel,625,grass,,510,TRUE,0.5,Kricketune
16,143,263,263,143,normal,,240,normal,,540,FALSE,1,Raikou
17,365,240,240,365,fire,,365,ice,water,530,FALSE,1,Piloswine
18,499,774,499,774,fire,fight,418,rock,flying,500,FALSE,2,Mega Lucario
19,563,578,563,578,ghost,,483,psychic,,370,TRUE,1,Samurott
20,440,687,687,440,dark,psychic,482,normal,,220,TRUE,1,Bisharp
21,373,441,441,373,normal,flying,411,dragon,flying,700,FALSE,1,Empoleon
22,654,671,671,654,fairy,,552,fire,,409,TRUE,1,Chandelure
23,121,355,121,355,water,psychic,520,ghost,,295,TRUE,2,Rhydon
24,609,649,649,609,bug,steel,600,ghost,fire,520,TRUE,4,Emolga
25,270,708,270,708,water,grass,220,ghost,grass,309,FALSE,1,Lugia
26,460,568,568,460,poison,,329,grass,ice,594,FALSE,0.5,Stoutland
27,626,767,767,626,bug,water,230,normal,,490,FALSE,1,Tyrunt
28,139,451,139,451,rock,water,495,poison,bug,330,TRUE,0.5,Tauros
29,694,747,694,747,electric,normal,289,poison,water,305,FALSE,1,Durant
30,455,549,549,455,grass,,480,grass,,454,TRUE,0.5,Manaphy
31,181,301,301,181,normal,,400,electric,,610,FALSE,1,Swellow
32,208,184,184,208,water,fairy,420,steel,ground,610,FALSE,1,Crobat
33,536,365,536,365,water,ground,384,ice,water,530,FALSE,1,Fan Rotom
34,260,381,381,260,dragon,psychic,700,water,ground,635,TRUE,0.5,Armaldo
35,471,269,269,471,bug,poison,385,ice,,525,FALSE,1,Mega Tyranitar
36,621,287,287,621,normal,,280,dragon,,485,FALSE,1,Zigzagoon
37,406,134,406,134,grass,poison,280,water,,525,FALSE,0.5,Luvdisc
38,592,503,503,592,water,,528,water,ghost,335,TRUE,0.5,Drapion
39,564,242,242,564,normal,,540,water,rock,355,TRUE,1,Remoraid
40,579,242,242,579,normal,,540,psychic,,490,TRUE,1,Remoraid
41,200,719,200,719,ghost,,435,rock,fairy,700,FALSE,1,Azumarill
42,376,135,376,135,steel,psychic,700,electric,,525,TRUE,1,Baltoy
43,76,441,441,76,normal,flying,411,rock,ground,495,FALSE,0,Empoleon
44,667,645,645,667,ground,flying,600,fire,normal,369,TRUE,1,Vanillish
45,475,400,475,400,psychic,fight,618,normal,water,410,TRUE,1,Buneary
46,3,737,737,3,bug,electric,400,grass,poison,625,FALSE,0.5,Pyroar
47,435,45,435,45,poison,dark,479,grass,poison,490,FALSE,0.25,Torterra
48,231,146,146,231,fire,flying,580,ground,,330,TRUE,0,Vaporeon
49,510,715,715,510,flying,dragon,535,dark,,446,TRUE,1,Keldeo Resolute Forme
50,456,260,260,456,water,ground,635,water,,330,TRUE,1,Magby
51,164,751,751,164,water,bug,269,normal,flying,452,FALSE,2,Aegislash Blade Forme
52,424,754,424,754,normal,,482,grass,,480,TRUE,1,Groudon
53,258,779,258,779,water,,310,water,psychic,475,FALSE,0.5,Smoochum
54,360,208,208,360,steel,ground,610,psychic,,260,TRUE,0.5,Sunflora
55,723,646,646,723,dragon,ice,700,grass,flying,420,TRUE,0.5,Vanilluxe
56,384,533,533,384,fight,,405,dragon,flying,780,FALSE,2,Heat Rotom
57,734,673,673,734,grass,,531,normal,,253,TRUE,1,Fraxure
58,141,721,141,721,rock,water,495,fire,water,600,FALSE,0.25,Gyarados
59,244,741,244,741,fire,,580,fire,flying,476,TRUE,0.5,Delibird
60,509,217,509,217,dark,,281,normal,,500,FALSE,1,Mantyke
61,633,44,633,44,dark,dragon,300,grass,poison,395,FALSE,0.5,Zoroark
62,595,719,595,719,bug,electric,319,rock,fairy,700,FALSE,2,Conkeldurr
63,606,40,606,40,psychic,,485,normal,fairy,435,TRUE,1,Scolipede
64,368,598,368,598,water,,485,grass,steel,489,FALSE,1,Zangoose
65,746,584,746,584,water,,620,ice,,535,TRUE,0.5,Espurr
66,350,187,350,187,water,,540,grass,flying,250,TRUE,2,Mega Sharpedo
67,303,198,303,198,steel,fairy,480,dark,flying,405,TRUE,0.25,Pelipper
68,169,701,701,169,fight,flying,500,poison,flying,535,FALSE,2,Terrakion
69,569,115,115,569,normal,,590,poison,,474,TRUE,1,Hitmonlee
70,231,172,172,231,electric,,205,ground,,330,FALSE,2,Typhlosion
71,71,440,71,440,grass,poison,490,normal,,220,TRUE,1,Alakazam
72,659,610,610,659,dragon,,320,normal,,237,TRUE,1,Lilligant
73,570,557,557,570,bug,rock,325,dark,,330,FALSE,1,Serperior
74,712,40,712,40,ice,,304,normal,fairy,435,FALSE,1,Kyurem Black Kyurem
75,451,352,451,352,poison,bug,330,normal,,440,FALSE,1,Luxray
76,661,95,95,661,rock,ground,385,normal,flying,278,TRUE,0.25,Dewgong
77,540,4,540,4,bug,grass,310,fire,,309,TRUE,4,Azelf
78,130,319,130,319,water,flying,640,water,dark,560,TRUE,0.5,Staryu
79,125,418,418,125,water,,330,electric,,490,FALSE,2,Latias
80,309,276,276,309,normal,flying,270,electric,,295,FALSE,2,Mega Sceptile
81,579,612,612,579,dragon,,540,psychic,,490,TRUE,1,Sandile
82,716,80,80,716,water,psychic,590,fairy,,680,FALSE,1,Tentacruel
83,482,535,535,482,water,,294,psychic,,580,FALSE,1,Frost Rotom
84,376,37,37,376,fire,ice,299,steel,psychic,700,FALSE,0.5,Nidoqueen
85,6,328,328,6,ground,,290,fire,flying,634,FALSE,1,Mega Sableye
86,343,159,159,343,water,,405,ground,psychic,300,TRUE,1,Moltres
87,509,574,574,509,psychic,,290,dark,,281,TRUE,2,Simisear
88,546,530,546,530,grass,fairy,280,ground,steel,508,FALSE,1,Giratina Origin Forme
89,486,229,229,486,dark,fire,600,normal,,670,FALSE,1,Scizor
90,686,213,213,686,bug,rock,505,dark,psychic,288,TRUE,1,Umbreon
91,304,386,386,304,psychic,,600,steel,rock,330,TRUE,1,Shuppet
92,514,732,732,514,normal,flying,355,fire,,498,FALSE,1,Talonflame
93,161,757,161,757,normal,,215,poison,fire,320,FALSE,1,Dragonair
94,150,265,265,150,bug,,195,psychic,,780,FALSE,1,Suicune
95,436,701,701,436,fight,flying,500,steel,psychic,300,TRUE,2,Terrakion
96,221,265,265,221,bug,,195,ice,ground,450,FALSE,0.5,Suicune
97,436,603,603,436,electric,,405,steel,psychic,300,TRUE,0.5,Leavanny
98,242,365,242,365,normal,,540,ice,water,530,TRUE,1,Remoraid
99,792,251,792,251,psychic,ghost,680,psychic,grass,600,TRUE,0.5,Noivern
100,607,295,607,295,ghost,fire,275,normal,,490,FALSE,0,Cottonee
101,439,209,209,439,fairy,,300,psychic,fairy,310,FALSE,1,Yanma
102,657,360,657,360,water,,405,psychic,,260,TRUE,1,Joltik
103,436,40,40,436,normal,fairy,435,steel,psychic,300,TRUE,2,Nidoking
104,325,408,408,325,rock,,350,psychic,,330,TRUE,1,Shelgon
105,472,89,472,89,ground,flying,510,poison,poison,500,TRUE,0.25,Ambipom
106,71,777,71,777,grass,poison,490,electric,steel,435,TRUE,0.5,Alakazam
107,47,615,47,615,bug,grass,405,ice,,515,FALSE,2,Zubat
108,5,670,5,670,fire,,405,fairy,,551,FALSE,0.5,Charmander
109,793,314,314,793,bug,,430,rock,poison,570,FALSE,2,Slaking
110,195,461,195,461,water,ground,430,dark,ice,510,FALSE,1,Flaaffy
111,493,568,493,568,normal,,720,poison,,329,TRUE,1,Gabite
112,400,341,341,400,water,,308,normal,water,410,FALSE,0.5,Plusle
113,63,297,63,297,psychic,,310,fight,,474,FALSE,0.5,0
114,541,446,541,446,bug,grass,380,normal,,390,FALSE,1,Dialga
115,141,152,141,152,rock,water,495,grass,,318,TRUE,4,Gyarados
116,54,115,115,54,normal,,590,water,,320,TRUE,1,Hitmonlee
117,378,161,161,378,normal,,215,ice,,580,FALSE,1,Dragonair
118,224,316,316,224,poison,,302,water,,480,FALSE,1,Ninjask
119,311,398,398,311,normal,flying,485,electric,,405,TRUE,2,Mega Glalie
120,298,35,298,35,normal,fairy,190,fairy,,323,FALSE,1,Nuzleaf
121,356,132,356,132,ghost,,455,normal,,288,TRUE,0,Torkoal
122,103,370,103,370,grass,psychic,530,water,,330,TRUE,0.5,Mega Gengar
